candidate_id,mta_date,mta_title,malware_family,malware_category,year,source_url,pcap_filename,pcap_available,pcap_size_if_documented,documented_protocol,documented_tls,documented_tls_version,documented_c2,candidate_priority,discovery_status,expected_ja4_relevance,reason_selected,reason_rejected,notes,download_status,archive_sha256,extraction_status,empirical_status,empirical_quality,rejection_reason,pcap_sha256,pcap_size_bytes,malware_label_confidence,packet_count,flow_count,tls_flow_count,tls12_present,tls13_present,clienthello_count,serverhello_count,ja3_available,ja3s_available,ja4_available,ja4_flow_count,bidirectional_flow_count
MTA-C022,2025-08-15,Lumma Stealer infection with SectopRAT,Lumma Stealer / SectopRAT,Stealer / RAT,2025,https://www.malware-traffic-analysis.net/2025/08/15/index.html,2025-08-15-Lumma-Stealer-infection-with-Sectop-RAT.pcap,YES,UNKNOWN,HTTPS - dual payload,LIKELY,UNKNOWN,HTTPS C2 for both,P0,CANDIDATE,HIGH,Dual-payload Lumma + SectopRAT; SectopRAT adds distinct TLS fingerprint profile; high diversity per capture,,Filename unknown. Requires PCAP verification.,SUCCESS,f75dbae7903aef96f6069f59cbe87ae3e9da1f0a38033bdd566d0da519222060,SUCCESS,VERIFIED_YES,HIGH,,903844e8c40fde617c3636a69ba902a668d740e67c79d9624998b4ab6df09ccd,23163559,DOCUMENTED_SOURCE,21579,423,11,NO,YES,10,11,YES,YES,YES,10,162
MTA-C023,2025-08-13,Lumma Stealer infection,Lumma Stealer,Stealer / Infostealer,2025,https://www.malware-traffic-analysis.net/2025/08/13/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Lumma standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,Standalone Lumma Stealer from Aug 2025; temporal diversity,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C024,2025-08-11,XLoader (Formbook) infection,XLoader / Formbook,Stealer / Loader,2025,https://www.malware-traffic-analysis.net/2025/08/11/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - XLoader standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,MEDIUM,Additional XLoader from Aug 2025; lower priority due to family coverage across multiple entries,,Filename unknown. Accept conditional on fingerprint diversity analysis.,,,,,,,,,,,,,,,,,,,,,
MTA-C025,2025-07-15,Lumma Stealer infection with SecTop RAT,Lumma Stealer / SectopRAT,Stealer / RAT,2025,https://www.malware-traffic-analysis.net/2025/07/15/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - dual payload,LIKELY,UNKNOWN,HTTPS C2 for both,P1,CANDIDATE,HIGH,Lumma + SectopRAT from July 2025; companion to MTA-C022 from August,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C026,2025-07-08,Koi Loader / Koi Stealer infection,Koi Loader / Koi Stealer,Loader / Stealer,2025,https://www.malware-traffic-analysis.net/2025/07/08/index.html,UNKNOWN,YES,UNKNOWN,HTTPS expected for modern loader/stealer,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,Koi Loader/Stealer is a less-documented family; adds diversity beyond common families; new class to corpus,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C027,2025-07-02,Lumma Stealer infection with follow-up Rsockstun malware,Lumma Stealer / Rsockstun,Stealer / Proxy,2025,https://www.malware-traffic-analysis.net/2025/07/02/index.html,UNKNOWN,YES,UNKNOWN,HTTPS + SOCKS tunnel,LIKELY,UNKNOWN,HTTPS C2 and tunnel,P1,CANDIDATE,HIGH,Rsockstun SOCKS-over-TLS proxy adds tunnel fingerprint diversity distinct from C2 fingerprints,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C028,2025-06-26,Lumma Stealer infection with follow-up Rsockstun malware,Lumma Stealer / Rsockstun,Stealer / Proxy,2025,https://www.malware-traffic-analysis.net/2025/06/26/index.html,UNKNOWN,YES,UNKNOWN,HTTPS + SOCKS tunnel,LIKELY,UNKNOWN,HTTPS C2 and tunnel,P2,CANDIDATE,MEDIUM,Earlier Rsockstun campaign; lower priority due to family duplication with MTA-C027,,Filename unknown. Evaluate together with MTA-C027.,,,,,,,,,,,,,,,,,,,,,
MTA-C029,2025-06-18,SmartApeSG to ClickFix lure to NetSupport RAT to StealC v2,SmartApeSG / NetSupport RAT / StealC v2,RAT / Stealer,2025,https://www.malware-traffic-analysis.net/2025/06/18/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - multi-stage,LIKELY,UNKNOWN,HTTPS for all stages,P0,CANDIDATE,HIGH,NetSupport RAT + StealC v2 dual payload capture; strong diversity value,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C030,2025-05-12,PureLogs infection from email attachment,PureLogs,Stealer / Infostealer,2025,https://www.malware-traffic-analysis.net/2025/05/12/index.html,UNKNOWN,YES,UNKNOWN,HTTPS expected for stealer C2,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,MEDIUM,PureLogs is a lesser-documented stealer; adds stealer class diversity; email delivery differs from ClickFix campaigns,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C031,2025-04-04,KongTuke activity leading to possible AsyncRAT,AsyncRAT / KongTuke,RAT / Loader,2025,https://www.malware-traffic-analysis.net/2025/04/04/index.html,UNKNOWN,YES,UNKNOWN,TLS - AsyncRAT uses TLS C2,LIKELY,UNKNOWN,TLS encrypted C2,P0,CANDIDATE,HIGH,AsyncRAT in 2025 companion to existing DS-008 baseline; temporal diversity across 2024-2025 for same family; MTA notes 'possible' qualifier,,MTA notes 'possible' AsyncRAT. Identity must be confirmed via PCAP analysis. Filename unknown.,,,,,,,,,,,,,,,,,,,,,
MTA-C032,2025-03-26,SmartApeSG traffic for fake browser update leads to NetSupport RAT and StealC,SmartApeSG / NetSupport RAT / StealC,RAT / Stealer,2025,https://www.malware-traffic-analysis.net/2025/03/26/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - multi-stage,LIKELY,UNKNOWN,HTTPS for all stages,P1,CANDIDATE,HIGH,Fake browser update chain; NetSupport RAT + StealC dual payload; delivery diversity,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C033,2025-03-10,Remcos RAT infection,Remcos RAT,RAT,2025,https://www.malware-traffic-analysis.net/2025/03/10/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Remcos standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,Remcos RAT standalone capture from March 2025; adds well-known RAT family to corpus,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C034,2025-02-18,SmartApeSG script for fake browser update leading to NetSupport RAT and StealC,SmartApeSG / NetSupport RAT / StealC,RAT / Stealer,2025,https://www.malware-traffic-analysis.net/2025/02/18/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - multi-stage,LIKELY,UNKNOWN,HTTPS for all stages,P1,CANDIDATE,HIGH,Early 2025 NetSupport RAT + StealC capture; temporal companion to March/June 2025 campaigns,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C035,2025-02-13,Quick post ClickFix style infection for Lumma Stealer,Lumma Stealer,Stealer / ClickFix,2025,https://www.malware-traffic-analysis.net/2025/02/13/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Lumma standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,ClickFix Lumma campaign from early 2025; temporal diversity from first half of year,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C036,2025-02-10,StrelaStealer infection,StrelaStealer,Stealer / Infostealer,2025,https://www.malware-traffic-analysis.net/2025/02/10/index.html,UNKNOWN,YES,UNKNOWN,HTTPS expected,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,MEDIUM,StrelaStealer is a distinct infostealer family; adds stealer class diversity beyond Lumma/StealC/XLoader,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C037,2025-01-30,XLoader infection traffic,XLoader / Formbook,Stealer / Loader,2025,https://www.malware-traffic-analysis.net/2025/01/30/index.html,2025-01-30-XLoader-infection-traffic.pcap,YES,UNKNOWN,HTTPS - XLoader standard,LIKELY,UNKNOWN,HTTPS C2,P0,ALREADY_VERIFIED,HIGH,ALREADY VERIFIED in DS-008 Phase 6 baseline as PCAP-1,,This is DS-008 PCAP-1 already in the verified corpus. Listed for registry completeness.,,,,,,,,,,,,,,,,,,,,,
MTA-C038,2024-09-19,File downloader to Lumma Stealer,Lumma Stealer,Stealer / Infostealer,2024,https://www.malware-traffic-analysis.net/2024/09/19/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Lumma standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,Lumma Stealer from September 2024; file downloader delivery mechanism adds diversity,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C039,2024-09-11,Data Dump Remcos RAT and XLoader Formbook,Remcos RAT / XLoader,RAT / Stealer,2024,https://www.malware-traffic-analysis.net/2024/09/11/index.html,2024-09-11-Remcos-RAT-infection-traffic.pcap,YES,UNKNOWN,HTTPS - both families use HTTPS C2,LIKELY,UNKNOWN,HTTPS C2 for both,P0,CANDIDATE,HIGH,Dual-family capture; Remcos RAT adds new family; XLoader provides continuity with baseline; data dump may include multiple PCAPs,,Filename unknown. Data dump may contain multiple PCAP files. Requires PCAP verification.,SUCCESS,4f3133298d08eca9bd430aeaee984f4efbdc40516af13c6d5a81cd2b5b1b9ab0,SUCCESS,VERIFIED_YES,MEDIUM,,3568f8710ce89eecb3639a3370f8c7bdd1f79b8dbcd61f56fdfa4d12a9ea02f4,11459,DOCUMENTED_SOURCE,80,6,1,NO,YES,1,1,YES,YES,YES,1,4
MTA-C040,2024-08-26,GuLoader for Remcos RAT,GuLoader / Remcos RAT,Loader / RAT,2024,https://www.malware-traffic-analysis.net/2024/08/26/index.html,2024-08-26-GuLoader-for-Remcos-RAT.pcap,YES,UNKNOWN,HTTPS - GuLoader delivery + RAT C2,LIKELY,UNKNOWN,HTTPS for payload delivery and RAT C2,P0,CANDIDATE,HIGH,GuLoader delivery chain + Remcos RAT C2; multi-stage infection captures distinct TLS fingerprints from loader and RAT,,GuLoader uses shellcode-based HTTPS delivery with distinctive SSL/TLS fingerprints. Filename unknown.,SUCCESS,5bfd0496ca8801f9d513d8cf0aa1225d3e4e0da1e2059cef9dacd9fb948f4c39,SUCCESS,VERIFIED_YES,MEDIUM,,47b1cc4c0148245878a1a2f2eadb37323d80d20a5dbc196b872b3780b8108095,1670896,DOCUMENTED_SOURCE,1620,16,3,YES,YES,2,2,YES,YES,YES,2,9
MTA-C041,2024-06-24,ClickFix popup leads to Lumma Stealer,Lumma Stealer,Stealer / ClickFix,2024,https://www.malware-traffic-analysis.net/2024/06/24/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Lumma standard,LIKELY,UNKNOWN,HTTPS C2,P1,CANDIDATE,HIGH,Early ClickFix-delivered Lumma Stealer; 2024 capture provides cross-year temporal baseline,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C042,2024-06-25,Latrodectus infection with BackConnect and Keyhole VNC,Latrodectus / BackConnect,Loader / RAT,2024,https://www.malware-traffic-analysis.net/2024/06/25/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Latrodectus standard,LIKELY,UNKNOWN,HTTPS C2 + VNC tunnel,P1,CANDIDATE,HIGH,Latrodectus loader with BackConnect C2; sophisticated multi-channel C2 adds tunnel TLS diversity,,Filename unknown. BackConnect and Keyhole VNC use distinct TLS profiles. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C043,2024-04-18,Word macro leads to SSLoad then Cobalt Strike,SSLoad / Cobalt Strike,Loader / C2 Framework,2024,https://www.malware-traffic-analysis.net/2024/04/18/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - Cobalt Strike standard HTTPS Beacon,LIKELY,TLS 1.2 inferred for Cobalt Strike Beacon,HTTPS Beacon C2,P1,CANDIDATE,HIGH,Cobalt Strike Beacon uses distinctive HTTPS C2 with well-studied TLS fingerprints; adds red-team tool class to corpus,,Filename unknown. Cobalt Strike TLS fingerprints well-studied and should produce strong JA3/JA4 signals.,,,,,,,,,,,,,,,,,,,,,
MTA-C044,2024-03-07,Latrodectus infection leads to Lumma Stealer,Latrodectus / Lumma Stealer,Loader / Stealer,2024,https://www.malware-traffic-analysis.net/2024/03/07/index.html,UNKNOWN,YES,UNKNOWN,HTTPS - multi-stage,LIKELY,UNKNOWN,HTTPS C2 for both,P1,CANDIDATE,HIGH,Latrodectus loader + Lumma Stealer dual payload; Latrodectus adds new loader class,,Filename unknown. Requires PCAP verification.,,,,,,,,,,,,,,,,,,,,,
MTA-C045,2024-03-06,Pikabot infection leads to Meduza Stealer,Pikabot / Meduza Stealer,Loader / Stealer,2024,https://www.malware-traffic-analysis.net/2024/03/06/index.html,2024-03-06-traffic-from-Piakbot-infection-with-Meduza-Stealer.pcap,YES,UNKNOWN,HTTPS - Pikabot uses HTTPS C2,LIKELY,UNKNOWN,HTTPS C2,P0,CANDIDATE,HIGH,Pikabot is a sophisticated loader with HTTPS C2; emerged as Qakbot replacement in 2023-2024; Meduza Stealer adds stealer diversity,,Filename unknown. Requires PCAP verification.,SUCCESS,cc40a9268aca8bd7a1215eab3ee82c1cc5a19adb39cb29e76a553e83869f9e25,SUCCESS,VERIFIED_YES,HIGH,,f1bfadc000a21dae71a1d1d71613b169a6e01bedb7d9829822d111987ed4caeb,1775002,DOCUMENTED_SOURCE,2652,214,51,YES,NO,51,51,YES,YES,YES,51,79
MTA-C046,2024-03-14,AsyncRAT and XWorm infection traffic,AsyncRAT / XWorm,RAT,2024,https://www.malware-traffic-analysis.net/2024/03/14/index.html,2024-03-14-AsyncRAT-and-XWorm-infection-traffic.pcap,YES,UNKNOWN,TLS - both use encrypted C2,YES,UNKNOWN,Encrypted C2 channels,P0,ALREADY_VERIFIED,HIGH,ALREADY VERIFIED in DS-008 Phase 6 baseline as PCAP-2,,DS-008 PCAP-2 already in verified corpus. Listed for registry completeness.,,,,,,,,,,,,,,,,,,,,,
